Country,Measurement,Score,,,,,,,,,,,,,,,,,,,,,,Country,Measurement,Score
Suriname,Labor Freedom,73.5,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Labor Freedom,67.5,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Labor Freedom,53.9,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Labor Freedom,72.5,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan ,Labor Freedom,60.9,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,Labor Freedom,49.2,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Labor Freedom,66.2,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,Labor Freedom,63.9,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,Labor Freedom,58.8,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Labor Freedom,46.7,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,Labor Freedom,69.9,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Labor Freedom,75.6,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Labor Freedom,50.3,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Labor Freedom,49.2,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,Labor Freedom,20,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,Labor Freedom,83.2,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Labor Freedom,46.7,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Labor Freedom,81.1,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Labor Freedom,73.5,,,,,,,,,,,,,,,,,,,,,,,,
United States,Labor Freedom,89.4,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Labor Freedom,71.9,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,Labor Freedom,58.7,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,Labor Freedom,58.8,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,Labor Freedom,28,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,Labor Freedom,62.8,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,Labor Freedom,49.8,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Labor Freedom,46,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Labor Freedom,43.3,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,Labor Freedom,64.9,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,Labor Freedom,90.8,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Monetary Freedom,76.7,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Monetary Freedom,81.5,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Monetary Freedom,74.9,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Monetary Freedom,55.4,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Monetary Freedom,60.2,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,Monetary Freedom,77.8,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Monetary Freedom,86.6,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Monetary Freedom,81.5,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Monetary Freedom,63,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,Monetary Freedom,78.1,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,Monetary Freedom,81.6,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Monetary Freedom,69.9,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,Monetary Freedom,78.3,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,Monetary Freedom,67,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Monetary Freedom,76.1,,,,,,,,,,,,,,,,,,,,,,,,
Belize,Monetary Freedom,78.7,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Monetary Freedom,86.4,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,Monetary Freedom,72.6,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Monetary Freedom,68.8,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Monetary Freedom,83.1,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Monetary Freedom,78.8,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Monetary Freedom,75.5,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Monetary Freedom,88,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,Monetary Freedom,86.2,,,,,,,,,,,,,,,,,,,,,,,,
Burma,Monetary Freedom,69.6,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,Monetary Freedom,62.2,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,Monetary Freedom,79.4,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Monetary Freedom,84,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Monetary Freedom,77.2,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,Monetary Freedom,84.1,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,Monetary Freedom,72.3,,,,,,,,,,,,,,,,,,,,,,,,
Chad,Monetary Freedom,82.3,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Monetary Freedom,84.5,,,,,,,,,,,,,,,,,,,,,,,,
China,Monetary Freedom,71.9,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Monetary Freedom,75.6,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,Monetary Freedom,82.8,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Democratic Republic of the Congo",Monetary Freedom,49.1,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Republic of",Monetary Freedom,82.6,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Monetary Freedom,83.2,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,Monetary Freedom,74.2,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Monetary Freedom,78.5,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,Monetary Freedom,65.6,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Monetary Freedom,84,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Monetary Freedom,81.5,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Monetary Freedom,84.1,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,Monetary Freedom,72.7,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,Monetary Freedom,85.7,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Monetary Freedom,79.7,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,Monetary Freedom,73.5,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Monetary Freedom,62.3,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,Monetary Freedom,79,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,Monetary Freedom,83.7,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,Monetary Freedom,61,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Monetary Freedom,79.6,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,Monetary Freedom,60.8,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,Monetary Freedom,73.5,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Monetary Freedom,84.8,,,,,,,,,,,,,,,,,,,,,,,,
France,Monetary Freedom,79.1,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,Monetary Freedom,80,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,Monetary Freedom,62.4,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Monetary Freedom,76,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Monetary Freedom,77.9,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Monetary Freedom,66.3,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Monetary Freedom,79.1,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Monetary Freedom,77,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,Monetary Freedom,66.4,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,Monetary Freedom,78.1,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,Monetary Freedom,76.9,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,Monetary Freedom,66.5,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,Monetary Freedom,73,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Monetary Freedom,86.4,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Monetary Freedom,81.8,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Monetary Freedom,81.7,,,,,,,,,,,,,,,,,,,,,,,,
India,Monetary Freedom,72.4,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,Monetary Freedom,77.4,,,,,,,,,,,,,,,,,,,,,,,,
Iran,Monetary Freedom,60.1,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Monetary Freedom,81.4,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Monetary Freedom,87,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Monetary Freedom,86.2,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Monetary Freedom,84,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,Monetary Freedom,82.6,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Monetary Freedom,85.9,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Monetary Freedom,85,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,Monetary Freedom,70.9,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Monetary Freedom,72.7,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,Monetary Freedom,81.1,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, North ",Monetary Freedom,0,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Monetary Freedom,82,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Monetary Freedom,70.6,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,Monetary Freedom,74.4,,,,,,,,,,,,,,,,,,,,,,,,
Laos,Monetary Freedom,78.5,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Monetary Freedom,81.1,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Monetary Freedom,78.1,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Monetary Freedom,75,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,Monetary Freedom,68.9,,,,,,,,,,,,,,,,,,,,,,,,
Libya,Monetary Freedom,52.8,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Monetary Freedom,84.6,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Monetary Freedom,82.6,,,,,,,,,,,,,,,,,,,,,,,,
Macau,Monetary Freedom,76.5,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,Monetary Freedom,78.7,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Monetary Freedom,72.4,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Monetary Freedom,65.5,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Monetary Freedom,78.6,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,Monetary Freedom,81,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Monetary Freedom,81.6,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Monetary Freedom,78.2,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,Monetary Freedom,81.2,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,Monetary Freedom,79.4,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Monetary Freedom,75.9,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,Monetary Freedom,85.8,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Monetary Freedom,73.5,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,Monetary Freedom,77.8,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,Monetary Freedom,81.6,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Monetary Freedom,83.5,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Monetary Freedom,65.4,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Monetary Freedom,74.4,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Monetary Freedom,69.4,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Monetary Freedom,84,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,Monetary Freedom,87.5,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,Monetary Freedom,72.7,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Monetary Freedom,76.7,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Monetary Freedom,65,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Monetary Freedom,75.4,,,,,,,,,,,,,,,,,,,,,,,,
Oman,Monetary Freedom,77.7,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Monetary Freedom,72.6,,,,,,,,,,,,,,,,,,,,,,,,
Panama,Monetary Freedom,79.4,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,Monetary Freedom,70,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,Monetary Freedom,72.8,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Monetary Freedom,83.9,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,Monetary Freedom,69.6,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Monetary Freedom,82.1,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Monetary Freedom,83,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,Monetary Freedom,78.4,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Monetary Freedom,82.7,,,,,,,,,,,,,,,,,,,,,,,,
Russia,Monetary Freedom,65.1,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Monetary Freedom,76.1,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,Monetary Freedom,83.9,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,Monetary Freedom,82.2,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,Monetary Freedom,83.5,,,,,,,,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,Monetary Freedom,70.5,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Monetary Freedom,78.1,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Monetary Freedom,78.2,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Monetary Freedom,80,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,Monetary Freedom,80,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,Monetary Freedom,65,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,Monetary Freedom,85.3,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Monetary Freedom,78.6,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Monetary Freedom,83.6,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Monetary Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Monetary Freedom,75.2,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Monetary Freedom,87.5,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,Monetary Freedom,70.1,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,Monetary Freedom,56.9,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,Monetary Freedom,56,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Monetary Freedom,73.7,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Monetary Freedom,82,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Monetary Freedom,85.2,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan ,Monetary Freedom,84.4,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,Monetary Freedom,68.5,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Monetary Freedom,70.4,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,Monetary Freedom,75.2,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,Monetary Freedom,79.5,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Monetary Freedom,79.1,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,Monetary Freedom,69.4,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Monetary Freedom,75.1,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Monetary Freedom,76,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Monetary Freedom,70,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,Monetary Freedom,73.4,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,Monetary Freedom,80.1,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Monetary Freedom,58.6,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Monetary Freedom,80.9,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Monetary Freedom,81.2,,,,,,,,,,,,,,,,,,,,,,,,
United States,Monetary Freedom,76.6,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Monetary Freedom,72.9,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,Monetary Freedom,58.9,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,Monetary Freedom,75,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,Monetary Freedom,0,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,Monetary Freedom,68.9,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,Monetary Freedom,61.5,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Monetary Freedom,70.3,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Monetary Freedom,72.4,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,Monetary Freedom,78.3,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,Monetary Freedom,76.5,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Trade Freedom,66,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Trade Freedom,87.8,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Trade Freedom,67.4,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Trade Freedom,61.2,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Trade Freedom,70,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,Trade Freedom,80.8,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Trade Freedom,87.6,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Trade Freedom,74.6,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,Trade Freedom,47.8,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,Trade Freedom,83.8,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Trade Freedom,63.6,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,Trade Freedom,56.6,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,Trade Freedom,76.4,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Belize,Trade Freedom,64,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Trade Freedom,61.8,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,Trade Freedom,79.4,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Trade Freedom,70.4,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Trade Freedom,82.6,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Trade Freedom,83.8,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Trade Freedom,69,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,Trade Freedom,65.2,,,,,,,,,,,,,,,,,,,,,,,,
Burma,Trade Freedom,70.8,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,Trade Freedom,68.2,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,Trade Freedom,65.4,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Trade Freedom,53.4,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Trade Freedom,86.8,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,Trade Freedom,68.2,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,Trade Freedom,51,,,,,,,,,,,,,,,,,,,,,,,,
Chad,Trade Freedom,47.2,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Trade Freedom,88.8,,,,,,,,,,,,,,,,,,,,,,,,
China,Trade Freedom,73,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Trade Freedom,76,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,Trade Freedom,70,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Democratic Republic of the Congo",Trade Freedom,62.6,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Republic of",Trade Freedom,56.8,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Trade Freedom,81.4,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,Trade Freedom,73.6,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,Trade Freedom,64,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,Trade Freedom,50.4,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,Trade Freedom,68.2,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Trade Freedom,75.8,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,Trade Freedom,66.4,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Trade Freedom,71.8,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,Trade Freedom,81.4,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,Trade Freedom,48.8,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,Trade Freedom,69.2,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,Trade Freedom,60.8,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,Trade Freedom,62.8,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
France,Trade Freedom,81,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,Trade Freedom,51.2,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,Trade Freedom,61.6,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Trade Freedom,88.6,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Trade Freedom,63.4,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Trade Freedom,81,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Trade Freedom,82.2,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,Trade Freedom,63.2,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,Trade Freedom,55.6,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,Trade Freedom,66.8,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,Trade Freedom,72,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,Trade Freedom,79.4,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Trade Freedom,95,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Trade Freedom,87,,,,,,,,,,,,,,,,,,,,,,,,
India,Trade Freedom,72.4,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,Trade Freedom,79.8,,,,,,,,,,,,,,,,,,,,,,,,
Iran,Trade Freedom,54.6,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Trade Freedom,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Trade Freedom,84.4,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,Trade Freedom,68.4,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Trade Freedom,80,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Trade Freedom,81.4,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,Trade Freedom,80,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Trade Freedom,60.4,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,Trade Freedom,53.2,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, North ",Trade Freedom,0,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Trade Freedom,80.4,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Trade Freedom,79,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,Trade Freedom,78.6,,,,,,,,,,,,,,,,,,,,,,,,
Laos,Trade Freedom,81.8,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Trade Freedom,79,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Trade Freedom,81,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,Trade Freedom,60.1,,,,,,,,,,,,,,,,,,,,,,,,
Libya,Trade Freedom,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Macau,Trade Freedom,90,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,Trade Freedom,82,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Trade Freedom,69.2,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Trade Freedom,75.4,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Trade Freedom,82,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,Trade Freedom,62.6,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Trade Freedom,69.8,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,Trade Freedom,62.6,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,Trade Freedom,88.4,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Trade Freedom,81.4,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,Trade Freedom,80.6,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Trade Freedom,78,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,Trade Freedom,75.8,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,Trade Freedom,84.7,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Trade Freedom,77.4,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Trade Freedom,78,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Trade Freedom,83,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Trade Freedom,60.4,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,Trade Freedom,92.4,,,,,,,,,,,,,,,,,,,,,,,,
